last_name; first_name;player_id;year;b_ab;b_home_run;b_strikeout;b_sac_fly;b_reached_on_error;sprint_speed;BIP;a_ROE
Cruz Jr.; Nelson;443558;2022;448;10;119;3;4;25.5;322;0.01242236
Blackmon; Charlie;453568;2022;530;16;109;3;3;27.9;408;0.007352941
McCutchen; Andrew;457705;2022;515;17;124;4;2;28.9;378;0.005291005
Turner; Justin;457759;2022;468;13;89;8;1;25;374;0.002673797
Andrus; Elvis;462101;2022;535;17;92;0;5;26;426;0.011737089
Santana; Carlos;467793;2022;431;19;88;2;1;25.7;326;0.003067485
Gurriel; Yuli;493329;2022;545;8;73;3;3;26.9;467;0.006423983
Rojas; Miguel;500743;2022;471;6;61;3;7;26.4;407;0.017199017
Escobar; Eduardo;500871;2022;495;20;129;6;1;27.9;352;0.002840909
Pham; Tommy;502054;2022;554;17;167;5;1;27.9;375;0.002666667
Martinez; J.D.;502110;2022;533;16;145;5;2;26.1;377;0.00530504
Goldschmidt; Paul;502671;2022;561;35;141;4;5;26.2;389;0.01285347
Altuve; Jose;514888;2022;527;28;87;1;3;28.1;413;0.007263923
Hernandez; Cesar;514917;2022;560;1;114;2;2;28.3;447;0.004474273
Marte; Starling;516782;2022;466;16;97;0;4;28;353;0.011331445
Donaldson; Josh;518626;2022;478;15;148;6;7;25.7;321;0.021806854
Freeman; Freddie;518692;2022;612;21;102;7;6;26.9;496;0.012096774
LeMahieu; DJ;518934;2022;467;12;71;2;6;26.4;386;0.015544041
Rizzo; Anthony;519203;2022;465;32;101;2;0;25.5;334;0
Flores; Wilmer;527038;2022;525;19;103;7;2;25.2;410;0.004878049
Ozuna; Marcell;542303;2022;470;23;122;4;2;26.6;329;0.006079027
Aguilar; Jesus;542583;2022;464;16;119;5;3;23.9;334;0.008982036
Cron; C.J.;543068;2022;575;29;164;5;3;25.2;387;0.007751938
Semien; Marcus;543760;2022;657;26;120;10;12;28.9;521;0.02303263
Springer III; George;543807;2022;513;25;100;5;3;28.3;393;0.007633588
Grichuk; Randal;545341;2022;506;19;127;2;2;28;362;0.005524862
Abreu; Jose;547989;2022;601;15;110;4;5;26;480;0.010416667
Suarez; Eugenio;553993;2022;543;31;196;5;2;25.7;321;0.00623053
Urshela; Gio;570482;2022;501;13;96;7;2;25.8;399;0.005012531
Schoop; Jonathan;570731;2022;481;11;107;4;1;27;367;0.002724796
Arenado; Nolan;571448;2022;557;30;72;4;1;25.5;459;0.002178649
Farmer; Kyle;571657;2022;526;14;99;6;3;26.8;419;0.007159905
Muncy; Max;571970;2022;464;21;141;6;3;27.2;308;0.00974026
Pollock; AJ;572041;2022;489;14;98;4;3;27.8;381;0.007874016
Voit III; Luke;572228;2022;500;22;179;6;3;24.7;305;0.009836066
Walker; Christian;572233;2022;583;36;131;7;5;26.6;423;0.011820331
Yastrzemski; Mike;573262;2022;485;17;141;6;2;27;333;0.006006006
Canha; Mark;592192;2022;462;13;97;4;2;27.5;356;0.005617978
Castellanos; Nick;592206;2022;524;13;130;2;4;27.7;383;0.010443864
Drury; Brandon;592273;2022;518;28;126;4;4;27;368;0.010869565
Judge; Aaron;592450;2022;570;62;175;5;1;27.3;338;0.00295858
Machado; Manny;592518;2022;578;32;133;2;6;26.3;415;0.014457831
Realmuto; J.T.;592663;2022;504;22;119;5;4;28.8;368;0.010869565
Renfroe; Hunter;592669;2022;474;29;121;3;0;27.1;327;0
Yelich; Christian;592885;2022;575;14;162;2;3;28.1;401;0.007481297
Merrifield; Whit;593160;2022;504;11;85;8;1;28.7;416;0.002403846
Bogaerts; Xander;593428;2022;557;15;118;7;3;27.9;431;0.006960557
Profar; Jurickson;595777;2022;575;15;103;3;3;26.6;460;0.006521739
Baez; Javier;595879;2022;555;17;147;3;10;27.9;394;0.025380711
Lindor; Francisco;596019;2022;630;26;133;7;7;27.5;478;0.014644351
Bell; Josh;605137;2022;552;17;102;6;6;26.2;439;0.013667426
Betts; Mookie;605141;2022;572;35;104;4;6;27.3;437;0.013729977
Hernandez; Teoscar;606192;2022;499;25;152;0;7;28.6;322;0.02173913
Marte; Ketel;606466;2022;492;12;101;5;0;27;384;0
Nimmo; Brandon;607043;2022;580;16;116;3;8;28.7;451;0.017738359
Turner; Trea;607208;2022;652;21;131;6;1;30.3;506;0.001976285
Ramirez; Jose;608070;2022;601;29;82;9;2;28.5;499;0.004008016
Bregman; Alex;608324;2022;548;23;77;10;1;26.6;458;0.002183406
Seager; Corey;608369;2022;593;33;103;5;1;26.1;462;0.002164502
Winker; Jesse;608385;2022;456;14;103;3;3;25.4;342;0.00877193
Swanson; Dansby;621020;2022;640;25;182;4;3;28.4;437;0.006864989
Correa; Carlos;621043;2022;522;22;121;4;4;27.1;383;0.010443864
Ward; Taylor;621493;2022;495;23;120;5;4;28.4;357;0.011204482
Wisdom; Patrick;621550;2022;469;25;183;2;1;27.8;263;0.003802281
Olson; Matt;621566;2022;616;34;170;4;1;26.3;416;0.002403846
Mateo; Jorge;622761;2022;494;13;147;2;3;30.1;336;0.008928571
Santander; Anthony;623993;2022;574;33;122;5;3;26.4;424;0.007075472
Alonso; Pete;624413;2022;597;40;128;9;4;25.6;438;0.00913242
Frazier; Adam;624428;2022;541;3;73;6;2;26.8;471;0.004246285
Cronenworth; Jake;630105;2022;587;17;131;8;5;28.2;447;0.011185682
Bellinger; Cody;641355;2022;504;19;150;6;6;28.1;341;0.017595308
Crawford; J.P.;641487;2022;518;6;80;5;3;26.8;437;0.006864989
Mancini III; Trey;641820;2022;519;18;135;5;6;25.6;371;0.016172507
McMahon; Ryan;641857;2022;529;20;158;3;2;25.8;354;0.005649718
Tellez; Rowdy;642133;2022;529;35;121;3;4;23.8;376;0.010638298
Rosario; Amed;642708;2022;637;11;111;4;5;29.5;519;0.009633911
Adames; Willy;642715;2022;563;31;166;4;3;27.8;370;0.008108108
Estrada; Thairo;642731;2022;488;14;89;5;9;28.3;390;0.023076923
Benintendi; Andrew;643217;2022;461;5;77;5;5;27.5;384;0.013020833
Kemp; Tony;643393;2022;497;7;69;3;1;26.2;424;0.002358491
Kiner-Falefa; Isiah;643396;2022;483;4;72;5;4;28.4;412;0.009708738
McNeil; Jeff;643446;2022;533;9;61;5;0;27.4;468;0
Devers; Rafael;646240;2022;555;27;114;3;5;25.5;417;0.011990408
Arraez; Luis;650333;2022;547;8;43;3;4;26.8;499;0.008016032
Torres; Gleyber;650402;2022;526;24;129;3;4;26.9;376;0.010638298
Diaz; Yandy;650490;2022;473;9;60;1;4;27.1;405;0.009876543
Rengifo; Luis;650859;2022;489;17;79;0;1;27.9;393;0.002544529
Chapman; Matt;656305;2022;538;27;170;5;0;28.4;346;0
Hoskins; Rhys;656555;2022;589;30;169;4;3;25.9;394;0.007614213
Mullins II; Cedric;656775;2022;608;16;126;5;5;28.4;471;0.010615711
Schwarber; Kyle;656941;2022;577;46;200;2;3;26.4;333;0.009009009
Thomas; Lane;657041;2022;498;17;132;5;5;29.4;354;0.014124294
Verdugo; Alex;657077;2022;593;11;86;6;4;26.8;502;0.007968127
Ohtani; Shohei;660271;2022;586;34;161;3;4;28.3;394;0.010152284
Acuna Jr.; Ronald;660670;2022;467;15;126;3;4;28.5;329;0.012158055
Varsho; Daulton;662139;2022;531;27;145;5;4;28;364;0.010989011
Hoerner; Nico;663538;2022;481;10;57;2;4;29.1;416;0.009615385
Riley; Austin;663586;2022;615;38;168;4;3;27.8;413;0.007263923
Mountcastle; Ryan;663624;2022;555;22;154;7;1;27.5;386;0.002590674
Hayes; Ke'Bryan;663647;2022;505;7;122;2;6;27.9;378;0.015873016
Tucker; Kyle;663656;2022;544;30;95;2;1;26.6;421;0.002375297
Grisham; Trent;663757;2022;451;17;150;2;2;28.8;286;0.006993007
Rodgers; Brendan;663898;2022;527;13;101;5;4;26.7;418;0.009569378
Lowe; Nathaniel;663993;2022;593;27;147;0;5;27.1;419;0.011933174
Happ; Ian;664023;2022;573;17;149;4;5;27.9;411;0.01216545
France; Ty;664034;2022;551;20;94;5;5;24.7;442;0.011312217
Straw; Myles;664702;2022;535;0;87;4;4;29.3;452;0.008849558
Bohm; Alec;664761;2022;586;13;110;10;10;27.1;473;0.021141649
Brown; Seth;664913;2022;500;25;146;1;1;27.9;330;0.003030303
Pena; Jeremy;665161;2022;521;22;135;5;5;29.4;369;0.013550136
Guerrero Jr.; Vladimir;665489;2022;638;32;116;4;5;26.6;494;0.010121457
Soto; Juan;665742;2022;524;27;96;0;5;26.6;401;0.012468828
Gimenez; Andres;665926;2022;491;17;112;3;3;29.3;365;0.008219178
Bichette; Bo;666182;2022;652;24;155;2;6;27.5;475;0.012631579
Garcia; Adolis;666969;2022;605;27;183;6;3;27.9;401;0.007481297
Arozarena; Randy;668227;2022;586;20;156;2;5;28.8;412;0.012135922
Reynolds; Bryan;668804;2022;542;27;141;2;7;28.3;376;0.018617021
Rojas; Josh;668942;2022;443;9;98;5;1;27.3;341;0.002932551
Melendez Jr.; MJ;669004;2022;460;18;131;7;2;27.8;318;0.006289308
Murphy; Sean;669221;2022;537;18;124;5;1;26.1;400;0.0025
Edman; Tommy;669242;2022;577;13;111;1;2;28.8;454;0.004405286
Smith; Will;669257;2022;508;24;96;4;4;27.5;392;0.010204082
Hays; Austin;669720;2022;535;16;114;3;7;27.8;408;0.017156863
Alvarez; Yordan;670541;2022;470;37;106;7;0;26.5;334;0
Kirk; Alejandro;672386;2022;470;14;58;4;8;24.1;402;0.019900498
Kim; Ha-Seong;673490;2022;517;11;100;4;4;28.4;410;0.009756098
Rodriguez; Julio;677594;2022;511;28;145;1;7;29.8;339;0.020648968
Witt Jr.; Bobby;677951;2022;591;20;135;5;3;30.4;441;0.006802721
Kwan; Steven;680757;2022;563;6;60;4;4;28.4;501;0.007984032
Vaughn; Andrew;683734;2022;510;17;96;5;4;26.2;402;0.009950249
Cabrera; Miguel;408234;2021;472;15;118;9;3;23.9;348;0.00862069
Cruz Jr.; Nelson;443558;2021;513;32;126;9;5;26;364;0.013736264
Peralta; David;444482;2021;487;8;92;2;3;27.6;389;0.007712082
Blackmon; Charlie;453568;2021;514;13;91;3;3;27.7;413;0.007263923
McCutchen; Andrew;457705;2021;482;27;132;7;3;28.7;330;0.009090909
Turner; Justin;457759;2021;533;27;98;6;4;25.5;414;0.009661836
Votto; Joey;458015;2021;448;36;127;4;2;25.1;289;0.006920415
Andrus; Elvis;462101;2021;497;3;81;4;7;26.7;417;0.016786571
Santana; Carlos;467793;2021;565;19;102;5;4;24.9;449;0.008908686
Lowrie; Jed;476704;2021;457;14;108;4;4;25.2;339;0.01179941
Brantley Jr.; Michael;488726;2021;469;8;53;1;4;25.7;409;0.009779951
Gurriel; Yuli;493329;2021;530;15;68;12;0;27;459;0
Rojas; Miguel;500743;2021;495;9;74;1;3;26.6;413;0.007263923
Escobar; Eduardo;500871;2021;549;28;124;1;5;27.4;398;0.012562814
Pham; Tommy;502054;2021;475;15;128;4;5;27.8;336;0.014880952
Martinez; J.D.;502110;2021;570;28;150;5;4;26.1;397;0.010075567
Goldschmidt; Paul;502671;2021;603;31;136;5;7;26.2;441;0.015873016
Altuve; Jose;514888;2021;601;31;91;6;4;28;485;0.008247423
Hernandez; Cesar;514917;2021;570;21;135;3;4;28.7;417;0.009592326
Segura; Jean;516416;2021;514;14;78;4;7;27.3;426;0.016431925
Marte; Starling;516782;2021;467;12;99;2;5;28.4;358;0.01396648
Donaldson; Josh;518626;2021;457;26;114;8;2;24.5;325;0.006153846
Freeman; Freddie;518692;2021;600;31;107;2;6;27;464;0.012931034
LeMahieu; DJ;518934;2021;597;10;94;5;2;26.5;498;0.004016064
Rizzo; Anthony;519203;2021;496;22;87;5;6;25.2;392;0.015306122
Stanton; Giancarlo;519317;2021;510;35;157;3;5;24.7;321;0.015576324
Perez; Salvador;521692;2021;620;48;170;4;6;26.1;406;0.014778325
Garcia; Avisail;541645;2021;461;29;121;5;6;28.7;316;0.018987342
Villar; Jonathan;542340;2021;454;18;132;0;2;27.3;304;0.006578947
Aguilar; Jesus;542583;2021;449;22;93;7;1;24.3;341;0.002932551
Crawford; Brandon;543063;2021;483;24;105;5;5;25.8;359;0.013927577
Cron; C.J.;543068;2021;470;28;117;4;4;25.9;329;0.012158055
Grossman; Robbie;543257;2021;557;23;155;6;6;27.8;385;0.015584416
Harrison; Josh;543281;2021;505;8;75;3;3;26.7;425;0.007058824
Hosmer; Eric;543333;2021;509;12;99;2;4;26;400;0.01
Semien; Marcus;543760;2021;652;45;146;3;1;28.6;464;0.002155172
Grichuk; Randal;545341;2021;511;22;114;4;2;28.1;379;0.005277045
Harper; Bryce;547180;2021;488;35;134;4;2;27.8;323;0.00619195
Abreu; Jose;547989;2021;566;30;143;10;4;26.5;403;0.009925558
Suarez; Eugenio;553993;2021;505;31;171;5;2;26.7;308;0.006493506
Schoop; Jonathan;570731;2021;623;22;133;8;4;27;476;0.008403361
Arenado; Nolan;571448;2021;593;34;96;7;4;25.4;470;0.008510638
Farmer; Kyle;571657;2021;483;16;97;5;2;27;375;0.005333333
Haniger; Mitch;571745;2021;620;39;169;8;8;27.2;420;0.019047619
Hernandez; Enrique;571771;2021;508;20;110;7;5;27.4;385;0.012987013
Muncy; Max;571970;2021;497;36;120;1;3;26.7;342;0.00877193
Seager; Kyle;572122;2021;603;35;161;4;3;25.5;411;0.00729927
Taylor; Michael A.;572191;2021;483;12;144;5;4;28.2;332;0.012048193
Yastrzemski; Mike;573262;2021;468;25;131;3;2;27.3;315;0.006349206
Iglesias; Jose;578428;2021;483;9;75;1;1;28.3;400;0.0025
Bryant; Kris;592178;2021;513;25;135;2;6;27.9;355;0.016901408
Canha; Mark;592192;2021;519;17;128;2;10;27.8;376;0.026595745
Castellanos; Nick;592206;2021;531;34;121;6;3;27.6;382;0.007853403
Judge; Aaron;592450;2021;550;39;158;5;4;27.6;358;0.011173184
Machado; Manny;592518;2021;564;28;102;11;4;26.4;445;0.008988764
Realmuto; J.T.;592663;2021;476;17;129;2;5;28.8;332;0.015060241
Renfroe; Hunter;592669;2021;521;31;130;6;6;27.3;366;0.016393443
Merrifield; Whit;593160;2021;664;10;103;12;5;28.6;563;0.008880995
Bogaerts; Xander;593428;2021;529;23;113;7;8;27.7;400;0.02
Polanco; Jorge;593871;2021;588;33;118;6;5;28;443;0.011286682
Sano; Miguel;593934;2021;470;30;183;1;5;26.5;258;0.019379845
Duvall; Adam;594807;2021;513;38;174;3;3;28.6;304;0.009868421
Baez; Javier;595879;2021;502;31;184;3;6;28.6;290;0.020689655
Lindor; Francisco;596019;2021;452;20;96;3;3;27.8;339;0.008849558
Story; Trevor;596115;2021;526;24;139;5;5;28.7;368;0.013586957
Candelario; Jeimer;600869;2021;557;16;135;0;4;27.2;406;0.009852217
Bell; Josh;605137;2021;498;27;101;3;10;26.2;373;0.026809651
Betts; Mookie;605141;2021;466;23;86;5;8;27.1;362;0.022099448
